Rkt4_Time,Rkt4_Error_w,Rkt4_Error_q,Euler_Time,Euler_Error_w,Euler_Error_q,Verlet_Time,Verlet_Error_w,Verlet_Error_q,Buss_Time,Buss_Error_w,Buss_Error_q,Johnson_Time,Johnson_Error_w,Johnson_Error_q,Fincham_Time,Fincham_Error_w,Fincham_Error_q,Omelyan_Time,Omelyan_Error_w,Omelyan_Error_q,Mercury_Time,Mercury_Error_w,Mercury_Error_q,SPIRAL_L_Time,SPIRAL_L_Error_w,SPIRAL_L_Error_q,SPIRAL_Time,SPIRAL_Error_w,SPIRAL_Error_q,SPIRAL_L_Time2,SPIRAL_L_Error_w2,SPIRAL_L_Error_q2,Rkt_Time,Rkt_Error_w,Rkt_Error_q
0.09998999999999393,4.788833010424734e-14,2.9999583136654366e-14,0.09998999999999393,2.709645523640341e-6,1.0310808674199659e-5,0.09998999999999393,1.3548226082447823e-6,1.7797285548510546e-7,0.09998999999999393,2.69214853681406e-6,3.527634713491342e-7,0.09998999999999393,2.6921407933408487e-6,1.0608236769358423e-5,0.09998999999999393,3.087236429665897e-6,4.202119747793141e-7,0.09998999999999393,6.682893640542737e-11,4.8548037515260084e-11,0.09998999999999393,2.6544501018630206e-6,8.559168711810237e-7,0.09998999999999393,5.647696158753416e-14,2.937303589887199e-11,0.09998999999999393,7.019566952897518e-14,2.3443601975122673e-11,0.09998999999999393,1.6810885515813026e-11,2.923554946434536e-11,0.0,1.1232595164407832e-31,0.0
0.19998000000005922,6.744651363992706e-13,3.5007411705400817e-13,0.19998000000005922,2.7899868007324094e-6,1.9821250840559125e-5,0.19998000000005922,1.3949754555859035e-6,5.829708793681437e-7,0.19998000000005922,3.0645667805499713e-6,1.1484733034399198e-6,0.19998000000005922,3.064560552512219e-6,2.0823188295671675e-5,0.19998000000005922,3.937353069592126e-6,1.361978357526196e-6,0.19998000000005922,5.45088745443023e-11,1.13390293887343e-10,0.19998000000005922,3.992940795578598e-6,3.647465896699831e-6,0.19998000000005922,6.718545061665509e-13,4.7422584557684466e-11,0.19998000000005922,6.726841825532739e-13,4.123551768964512e-11,0.19998000000005922,3.49100461713431e-11,4.9052209026258684e-11,0.10050251256281408,9.504906634414034e-31,0.0
0.2999700000001592,9.692651988874197e-13,1.3791718210348285e-12,0.2999700000001592,4.182636535714093e-6,2.9147832254714574e-5,0.2999700000001592,2.0913131950034655e-6,1.1194374135988575e-6,0.2999700000001592,2.5519632049358852e-6,2.3333646891376023e-6,0.2999700000001592,2.551995990098499e-6,3.076629848545187e-5,0.2999700000001592,4.950005597244409e-6,3.0068235967646672e-6,0.2999700000001592,7.77403387852417e-11,2.962395602663692e-10,0.2999700000001592,1.1919234166606938e-5,1.26460336879467e-5,0.2999700000001592,1.003255678215071e-12,6.61587158725191e-11,0.2999700000001592,9.943209795470602e-13,9.774428876213211e-11,0.2999700000001592,5.846291220863083e-11,8.212393580458787e-11,0.20100502512562815,2.0721522630525295e-30,0.0
0.3999600000002592,8.656298056776094e-13,2.823768710826226e-12,0.3999600000002592,4.403857064125837e-6,3.848590603103171e-5,0.3999600000002592,2.2019536403417687e-6,2.812630049282552e-6,0.3999600000002592,3.4595618546800148e-6,3.4216448915776747e-6,0.3999600000002592,3.4596235837842292e-6,4.122410433118203e-5,0.3999600000002592,5.197918607036885e-6,5.291130301846077e-6,0.3999600000002592,7.592712420926317e-11,7.284921695762602e-10,0.3999600000002592,3.670729120833078e-5,4.4828465879993395e-5,0.3999600000002592,8.740620643636946e-13,8.368933011643246e-11,0.3999600000002592,8.791299013379867e-13,1.9991971664825887e-10,0.3999600000002592,7.69172895401666e-11,1.5090222550594045e-10,0.3015075376884422,1.6518937961890063e-29,0.0
0.4999500000003592,3.021826170641038e-13,4.0970922243316404e-12,0.4999500000003592,6.479942766890354e-6,5.0295611197979494e-5,0.4999500000003592,3.239804102571683e-6,4.868146977748432e-6,0.4999500000003592,3.078304072820344e-6,4.9300686831518955e-6,0.4999500000003592,3.0784437286056593e-6,5.0501394154534454e-5,0.4999500000003592,8.972876265903442e-6,7.001498162663276e-6,0.4999500000003592,1.429029175935473e-10,1.418110935936381e-9,0.4999500000003592,7.016026511390012e-5,0.00010701393436519772,0.4999500000003592,2.6254655928204443e-13,8.041935736552243e-11,0.4999500000003592,2.819655346215532e-13,3.661090616059598e-10,0.4999500000003592,1.339084338734308e-10,2.3872045395282966e-10,0.4020100502512563,4.345037193222341e-29,0.0
0.5999399999999044,1.4220012372913678e-12,2.159667169068004e-12,0.5999399999999044,9.888309620998659e-6,6.881545956645233e-5,0.5999399999999044,4.943847611419567e-6,5.1487201286235455e-6,0.5999399999999044,2.7852149404810525e-6,4.642935451962903e-6,0.5999399999999044,2.7853563182266772e-6,6.456183936483726e-5,0.5999399999999044,1.0603165430977297e-5,8.165313497717912e-6,0.5999399999999044,2.1632110935685295e-10,2.9209271185164985e-9,0.5999399999999044,0.00013688784929394608,0.00019382999429111235,0.5999399999999044,1.4210782845364821e-12,7.274824759161304e-11,0.5999399999999044,1.4454762296628343e-12,5.050676558516289e-10,0.5999399999999044,2.0475028197754289e-10,3.084584955908196e-10,0.5025125628140703,1.2247512941032047e-28,0.0
0.6999299999994494,2.733044812819511e-12,1.1665180883862503e-11,0.6999299999994494,1.327334228712188e-5,8.302924579215999e-5,0.6999299999994494,6.63608578193288e-6,6.2774404782899325e-6,0.6999299999994494,3.077937042894273e-6,1.94349696602716e-6,0.6999299999994494,3.078221371362073e-6,7.730679098084058e-5,0.6999299999994494,1.1908517051579756e-5,1.2711249609379145e-5,0.6999299999994494,3.0764090218738004e-10,5.736981494937516e-9,0.6999299999994494,0.0001325663044186271,0.0004675061622953953,0.6999299999994494,2.6703030484731346e-12,9.780138826561289e-11,0.6999299999994494,2.732292837269249e-12,4.89501602106929e-10,0.6999299999994494,2.9670236942632024e-10,3.468975613091522e-10,0.6030150753768844,3.38601639618495e-28,0.0
0.7999199999989943,3.0895330156681258e-12,2.282622957533022e-11,0.7999199999989943,1.622652090867581e-5,9.536047862093272e-5,0.7999199999989943,8.112154850389845e-6,4.801512487234638e-6,0.7999199999989943,2.922737076932138e-6,1.9871773513808717e-6,0.7999199999989943,2.9231455493859658e-6,8.562512023853038e-5,0.7999199999989943,1.5448805028985336e-5,1.8805228893703098e-5,0.7999199999989943,4.185881750034674e-10,9.50642618360482e-9,0.7999199999989943,6.389000571443759e-5,0.0005022786325595038,0.7999199999989943,3.0233024775753938e-12,1.4384248829404994e-10,0.7999199999989943,3.085716359565627e-12,4.1185138361956067e-10,0.7999199999989943,4.09508529292047e-10,3.0854800671679086e-10,0.7035175879396985,4.6661338819705365e-28,0.0
0.8999099999985393,3.1496832678730694e-12,3.495954780061137e-11,0.8999099999985393,1.602345995091885e-5,9.573878036033857e-5,0.8999099999985393,8.011126251493921e-6,7.865893718331378e-6,0.8999099999985393,2.999756371029292e-6,4.712023214458092e-6,0.8999099999985393,3.0004802028769805e-6,9.442927382763082e-5,0.8999099999985393,2.2515649449844784e-5,2.4597188652797558e-5,0.8999099999985393,4.772732904392445e-10,1.4543801481790197e-8,0.8999099999985393,0.0001566665082937677,0.0004938860635036612,0.8999099999985393,3.0757474460391553e-12,1.3314276242846632e-10,0.8999099999985393,3.2075060988940564e-12,6.619785472844075e-10,0.8999099999985393,4.7140914922027e-10,4.6213057316479896e-10,0.8040201005025126,9.229765478082031e-28,0.0
0.9998999999980842,3.5519585474268747e-12,4.969023066734202e-11,0.9998999999980842,2.6910510605636208e-5,0.0001239953499486702,0.9998999999980842,1.3452765952914451e-5,1.6004830132168627e-5,0.9998999999980842,3.6545891347027293e-6,3.904704291716411e-6,0.9998999999980842,3.655722547012296e-6,0.00010735203101596109,0.9998999999980842,3.0346629740120836e-5,3.482293898852328e-5,0.9998999999980842,7.413081572208018e-10,2.2329132466298202e-8,0.9998999999980842,0.00017162669888773862,0.0010327179933727363,0.9998999999980842,3.4416404974324416e-12,1.6001875432567434e-10,0.9998999999980842,3.6259771996684636e-12,9.566597076551785e-10,0.9998999999980842,7.322131740920311e-10,7.246116097094329e-10,0.9045226130653267,1.4957587058836612e-27,0.0
