Time,q1,q2,q3,q4,w1,w2,w3
0.0,1.0,0.0,0.0,0.0,0.3,-0.9,0.6000000000000001
0.015099780805642773,0.9999553156446268,0.004762072677858997,-0.006782121274526299,0.004548868967448683,0.9615273303596508,-0.8971324875617579,0.6042791571461424
0.04529934241692832,0.9992716357984833,0.029259931569919944,-0.02012871940647047,0.013960263185290872,2.284581991078952,-0.8820550264586529,0.6260822073011061
0.10569846563949942,0.9888373952902194,0.13762910590203753,-0.04447766129150579,0.03578508809963474,4.930691312517554,-0.8087490567159223,0.718279168054529
0.1672572572834483,0.9415844956292257,0.32455652252708034,-0.06231366720172707,0.06479743942208363,7.6276061631734935,-0.6557334826730041,0.8602404313338994
0.22204438364940896,0.8335001825099857,0.5397562845366056,-0.06720693109605062,0.09707640017898835,10.02785169716209,-0.43064933479858514,0.9922404700663728
0.2713724646574224,0.6531555995235071,0.743857064125002,-0.05812838920305691,0.1291724480339371,12.188934308957434,-0.14612347080631233,1.0717499387821383
0.31475387439843605,0.414525189614705,0.8958651763061328,-0.03668851582240272,0.15571899647642598,14.089490915877617,0.16110008803055376,1.069601216171966
0.35379403564106143,0.13640307350772696,0.9753196682589806,-0.00580612131498756,0.17352819713266904,15.799855720245708,0.4619121995913022,0.9780782790087538
0.3930172704168705,-0.18674288508546127,0.9650917157154123,0.034915702374175656,0.18029411763881747,17.518241048038966,0.7513727555936416,0.778099596550222
0.42904492775061503,-0.49176291262331495,0.8500266262753735,0.07737985551085713,0.17215205590483376,19.096626872434367,0.9628632279705529,0.4928431842098732
0.4627194534623543,-0.7453802753840156,0.6391978874949463,0.11639645090812466,0.14928553816911103,20.571921075836944,1.071213415197567,0.1500060635466605
0.49485168671591306,-0.9183112819704939,0.3496490957148009,0.14717079206546793,0.11309578787185022,21.97964684062267,1.0595221573074438,-0.21774480056841822
0.5242137042036978,-0.9835303801194717,0.028596722602671317,0.1644512780257475,0.06932529115794564,23.266008364189226,0.9306242056001496,-0.5513062560420393
0.5517136844315066,-0.9413480000652311,-0.2922848038067803,0.16713845240157268,0.022322051107175986,24.470793303732663,0.7032514285128197,-0.821850003525387
0.5776070217693126,-0.8000827562827156,-0.5789991902217493,0.1552430837711307,-0.0229587840018575,25.605190586955445,0.40485691624949494,-1.0030408154033164
0.6032106874156136,-0.5659741220602645,-0.8117922308600938,0.12890475495134995,-0.06364142695007093,26.72689723955063,0.05261097429073086,-1.0803851560365778
0.6279481537804207,-0.2660471579452849,-0.9550718691196205,0.09075220387436476,-0.09391843300195128,27.810655361261716,-0.30787619671167643,-1.0369244174472667
0.6507526781064469,0.05011707473347258,-0.9915701649808932,0.04713505942980305,-0.10979605144302204,28.809730532729123,-0.6209113505694882,-0.8857025994847112
0.6729749924596491,0.36402639619494076,-0.9247238288333108,0.0006502909310797287,-0.1112214025396947,29.7832988565152,-0.871551788637549,-0.6406227280722167
0.6943384080108801,0.6382125635830317,-0.7623593002279102,-0.04326137916042978,-0.0980891131264332,30.71923848629369,-1.0298682314556296,-0.330713510214587
0.7157273586537661,0.8519205513095365,-0.5124100730252851,-0.0815113375346767,-0.07087448886582748,31.656296818471276,-1.0813838468717556,0.024677433514114007
0.7364201142511025,0.9716545431106237,-0.20747356472192785,-0.10840698646587171,-0.03301657279998592,32.56285457214245,-1.014206935736201,0.37601102577528966
0.7557131561400924,0.986922357854731,0.10607276951877682,-0.12101402948116245,0.009403818469898668,33.40809031825149,-0.8456593442218349,0.6744332980586711
0.7748478124135693,0.9009953872902584,0.4135465804769372,-0.11936508634253094,0.054208062315096936,34.24638712830931,-0.5872764883699716,0.9083536349945626
0.7935649152457054,0.7212106065263962,0.6781973783801346,-0.10331105486958647,0.09607498599469917,35.06639075802975,-0.2671862410156037,1.0481467037642929
0.8124055089198975,0.45774411864224546,0.8762453427683796,-0.07352744610105925,0.1313702241568598,35.89180457006479,0.09142814307488195,1.0777944584445958
0.8305914149171743,0.14803874297830305,0.9762297014997524,-0.03419285830123761,0.15456697230750663,36.68853625772309,0.43573164054713454,0.9900191601308044
0.8478447629068391,-0.16736209170385422,0.9721892846098358,0.009263199860970722,0.16356074797662273,37.44441221263124,0.7248464731468319,0.8028683518277447
