dt,RKq,Eulerq,Verletq,Bussq,Johnsonq,Finchamq,Omelyanq,MercuryDPMq,SPIRALLq,SPIRALq,SPIRALOq,RKw,Eulerw,Verletw,Bussw,Johnsonw,Finchamw,Omelyanw,MercuryDPMw,SPIRALLw,SPIRALw,SPIRALOw
0.0001438449888287663,5.782397553422789e-12,0.0017689327785894479,0.00022128249590694,5.598583814628789e-5,0.0015430520359931428,0.0005006089250525617,4.629323437055809e-6,0.014749488990703129,3.643939613219447e-8,1.920966724451682e-7,1.581408944922568e-7,3.9522907961995245e-13,0.000388921827416198,0.00019394481358845495,5.234402946132519e-5,5.2578536094309295e-5,0.00043384594798046727,1.5308465644015593e-7,0.0024830056848616677,1.9526962662188663e-10,1.953409737624325e-10,1.5119340171326894e-7
0.00029763514416313193,5.815445617338756e-11,0.003624335893915741,0.0004369172915500176,0.00011565484857473747,0.003188726489325988,0.001035501290658714,1.980886395720611e-5,0.030295403885865848,1.5703403002191524e-7,8.22488728209735e-7,6.799121359991406e-7,2.0601963264141028e-12,0.0008086698307602959,0.0004021230553922645,0.00010775473645896407,0.0001087584930137331,0.0008912814557366727,6.535356535942611e-7,0.005182664704726479,1.725132956046932e-9,1.726745000749568e-9,6.454404049439502e-7
0.0006158482110660261,1.0449011911739526e-9,0.007345778869578966,0.0009351622037987358,0.00023855548383005233,0.006580121729867238,0.0021415852140115213,8.470871010975616e-5,0.06179096907590765,6.815358315526617e-7,3.522228209340384e-6,2.936541578302173e-6,3.4889998751459123e-11,0.00168997428095232,0.0008355015481894472,0.00022058599477430734,0.0002248815481949817,0.0018170979307601557,2.7806263802078213e-6,0.010904418694510599,1.5234961105362112e-8,1.5265452422404796e-8,2.7459856668365674e-6
0.0012742749857031334,1.9071809437895386e-8,0.014543607159965955,0.002708459095664654,0.0004904799686907965,0.01353765711983672,0.004429737675838324,0.00036174935616622506,0.12453296621781591,3.0002324485616545e-6,1.5088341004847434e-5,1.2800352581791025e-5,6.363353008889871e-10,0.0035677398342471903,0.0017431753887254854,0.0004462093660552983,0.0004645903492831991,0.0036469141872694276,1.1739356358838699e-5,0.023215227248722905,1.3403032447113616e-7,1.3463150657244664e-7,1.1591250346086143e-5
0.0026366508987303583,3.50709606309444e-7,0.027367700521125783,0.008866607418354601,0.000962255217230196,0.027900016041962013,0.009128073717946767,0.0015483711473256217,0.22881146205682637,1.3364379910282759e-5,6.318397404134627e-5,5.6164620721373145e-5,1.1652383580093833e-8,0.007768383304768115,0.0037047255124210763,0.0008823587016322995,0.0009614851308185819,0.00711101466086799,4.9489391058755683e-5,0.04937539743760198,1.1796635026503763e-6,1.191408802762493e-6,4.885615655771097e-5
0.00545559478116852,6.358805664380639e-6,0.045590131558008416,0.032110449909351725,0.0018562859968899801,0.05713004661886298,0.01901255728405796,0.006575987669086233,0.42969509145289403,6.273077064383242e-5,0.00026464129904615717,0.0002551380625516104,2.1009155054938923e-7,0.01754053103824126,0.007996077378999785,0.0016432888516102026,0.001986930282050874,0.013025649041852464,0.00019852776670870539,0.12295385136964472,1.0138214213123265e-5,1.0397235365985362e-5,0.00019584090283155243
0.011288378916846888,0.00011052462024484751,0.06405680561996017,0.12667449138178052,0.0036445097931680015,0.13169243705805422,0.040770382938560085,0.02798510775309041,0.9484454827711306,0.00032659656759633594,0.0011291263270263774,0.0012369590119221808,3.5173233609206594e-6,0.03936765682659908,0.017146330468272835,0.0025749782344730646,0.004096796355278352,0.020856481489957834,0.0008074767665285488,0.688827327422904,7.798923752728795e-5,8.475156092848994e-5,0.0008030983492580219
0.023357214690901226,0.0017774753095433006,0.22177829803956312,0.4692000758338519,0.00518639410094991,0.3231878543913955,0.08008563600358173,0.11338762078378596,1.497505823476169,0.0013603140032752785,0.003305083219037184,0.004912690389465628,5.055251935185764e-5,0.14180426612890046,0.03843687437972116,0.002699594973681569,0.008279196995771414,0.024112603924246533,0.004293912991607055,1.2955766414876089,0.0006531967372296907,0.0005738276974122409,0.004258471657073286
0.04832930238571752,0.023552117370779432,0.9276643024459869,1.1603094020967188,0.007427553544552326,0.54003109427108,0.13465943820527074,0.4160940687953119,1.4025684206011784,0.005576884104499602,0.009294311718178874,0.01715781850661013,0.0011078532238949035,0.41726866187442674,0.14639148003160807,0.008707645751606187,0.01657117470676069,0.0364292402480091,0.014325912982672757,0.703195977839769,0.005036980133539313,0.006002733108291358,0.014339377693183887
0.1,0.0336602284067133,2.5512858900816866,2.0129777652260468,0.016082191241423262,0.2441956246015789,0.43947288796323913,1.747910296000352,1.5331980042159439,0.031312894747732925,0.032656159245163636,0.044492827645929156,0.01780070677481563,1.1500986008802605,0.5363999724273624,0.03541970819306904,0.035326906502337635,0.036180557556494755,0.04027662138887238,2.1152052002929267,0.0389484136974191,0.04409283684310857,0.040244206902074635
