Rkt_Time,Rkt_q1,Rkt_q2,Rkt_q3,Rkt_q4,Rkt_w1,Rkt_w2,Rkt_w3
0.0,1.0,0.0,0.0,0.0,0.3,-0.9,0.6000000000000001
0.010050251256281407,0.9999818116484458,0.002613804087760245,-0.004518088108871996,0.0030218008411333147,0.7403054566545112,-0.8984286276492823,0.6023503972109816
0.020100502512562814,0.9999132334133284,0.007439894111079808,-0.009018057044908134,0.00607027739508955,1.1806109133090223,-0.8955109769614924,0.6066795613348727
0.03015075376884422,0.9997622360133929,0.014477479893433422,-0.013486089319686905,0.009165119328061975,1.6209163699635336,-0.8912184015741916,0.6129679932064506
0.04020100502512563,0.9994821213848311,0.023724906367735256,-0.017907945014813798,0.012325719259603556,2.061221826618045,-0.8855094052496516,0.6211868424350345
0.05025125628140704,0.9990115473761592,0.03517913719586136,-0.022268793333784606,0.015571042312716613,2.501527283272556,-0.8783299653159711,0.6312974513080541
0.06030150753768844,0.998274573349344,0.04883507674480775,-0.026553050009732355,0.018919487802133164,2.941832739927067,-0.8696139691505327,0.64325076343387
0.07035175879396985,0.9971807371765509,0.06468473131006199,-0.030744222497509653,0.02238874097397433,3.3821381965815784,-0.8592837727607727,0.6569866040263019
0.08040201005025126,0.9956251765967723,0.082716211096103,-0.0348247650529281,0.02599561285216413,3.8224436532360895,-0.8472508924180578,0.6724328407334108
0.09045226130653267,0.9934888103350387,0.10291257534078775,-0.038775946008733346,0.029755866428731816,4.262749109890601,-0.8334168420188961,0.6895044361273179
0.10050251256281408,0.990638596767665,0.12525052415259613,-0.04257772979186543,0.03368402766094219,4.703054566545112,-0.8176741303366805,0.7081024054316957
0.11055276381909548,0.9869278902114247,0.14969894216350818,-0.046208676484532654,0.03779318001308079,5.143360023199624,-0.7999074335337494,0.7281126957947173
0.12060301507537688,0.9821969170855402,0.17621730102942537,-0.04964586200623248,0.04209474161013552,5.583665479854134,-0.7799949591685178,0.7494050064362409
0.1306532663316583,0.9762733961963395,0.20475393017473106,-0.052864822277395175,0.04659822446023736,6.023970936508646,-0.7578100183899394,0.7718315723186245
0.1407035175879397,0.9689733291683557,0.23524416801315018,-0.05583952500866738,0.05131097565824913,6.464276393163157,-0.7332228229890182,0.7952259376101959
0.1507537688442211,0.9601019885244396,0.26760840921238116,-0.05854237303227227,0.056237901009787115,6.904581849817667,-0.7061025233955489,0.8194017491160479
0.16080402010050251,0.9494551320213774,0.3017500674254608,-0.060944243340952615,0.06138117211815064,7.344887306472179,-0.6763195024829658,0.8441516040150572
0.1708542713567839,0.9368204724849617,0.3375534772972524,-0.06301456621148993,0.06673991866016078,7.78519276312669,-0.6437479380856811,0.8692459906208567
0.18090452261306533,0.9219794324560827,0.37488176446639077,-0.0647214489475936,0.07230990834353307,8.225498219781203,-0.6082686443490057,0.8944323654149726
0.19095477386934673,0.9047092123426215,0.41357471770188625,-0.06603184886307031,0.07808321788914825,8.665803676435713,-0.5697721983281563,0.9194344141983705
0.20100502512562815,0.884785199345958,0.453446703200745,-0.0669118001207776,0.0840478993152538,9.106109133090225,-0.528162353538189,0.9439515497656654
