Method,TimeN,ErrorN,Time,Error
Direct Euler,1.0,0.033750146276291755,0.8597384617267518,0.14480474469436203
Omelyan,1.4694921129780845,0.03371571135650766,1.275462106550478,0.04904578109482741
Velocity Verlet,1.0150043078636228,0.034065953680411286,0.8122778801289657,0.028589027346500675
Buss,1.8555564381066463,0.041889645370902104,1.6707925599692401,0.03395395840731099
Fincham LeapFrog,1.1144037388747943,0.05122946620240629,0.721089196311402,0.03261307948109748
Johnson,3.1630104980310434,0.06377664770275782,2.961534276073363,0.05745598936804558
MercuryDPM,1.976644885669972,0.06870457800634053,1.2729630917826202,0.19912977374033047
SPIRAL,1.4975426903965339,0.03495506575956002,1.4838556827014535,0.04727685889581016
